Date,Open,High,Low,Close,Adj Close,Volume
2024-01-11,36.110001,36.250000,35.610001,35.860001,35.754089,14628200
2024-01-12,35.669998,36.119999,35.200001,35.259998,35.155857,16649600
2024-01-16,34.730000,35.580002,34.619999,35.389999,35.285477,18287200
2024-01-17,34.830002,35.209999,34.730000,35.009998,34.906597,15352800
2024-01-18,35.299999,35.360001,34.320000,34.580002,34.477871,22571800
2024-01-19,34.590000,35.660000,34.340000,35.509998,35.405121,17595100
2024-01-22,35.549999,36.049999,35.279999,35.320000,35.215683,15127100
2024-01-23,35.619999,35.759998,34.939999,35.230000,35.125950,16822800
2024-01-24,35.290001,35.599998,34.560001,34.700001,34.597515,15483400
2024-01-25,34.959999,35.259998,34.709999,35.160000,35.056156,21520300
2024-01-26,35.160000,35.549999,35.040001,35.180000,35.076096,14190100
2024-01-29,35.200001,35.610001,34.930000,35.389999,35.285477,24054800
2024-01-30,38.349998,38.959999,37.400002,38.150002,38.037327,57982600
2024-01-31,38.200001,39.750000,38.130001,38.799999,38.685406,34203100
2024-02-01,39.180000,39.310001,38.529999,38.869999,38.755199,21343000
2024-02-02,38.529999,39.189999,38.290001,38.910000,38.795082,19817100
2024-02-05,38.529999,38.689999,37.680000,37.790001,37.678391,19722400
2024-02-06,37.599998,38.669998,37.599998,38.029999,37.917679,16280200
2024-02-07,38.540001,39.119999,38.099998,38.720001,38.605644,19093800
2024-02-08,38.840000,38.939999,38.419998,38.650002,38.535851,15864500
2024-02-09,38.619999,38.980000,38.450001,38.560001,38.446117,13066000
2024-02-12,38.540001,39.529999,38.509998,39.279999,39.163986,18113100
2024-02-13,38.799999,38.939999,37.830002,38.310001,38.196854,18979000
2024-02-14,38.580002,38.750000,38.049999,38.369999,38.256676,13278500
2024-02-15,38.669998,39.509998,38.639999,38.990002,38.874847,15688600
2024-02-16,38.799999,39.060001,38.619999,38.700001,38.585701,12392900
2024-02-20,38.349998,39.169998,38.130001,39.009998,38.894783,16971300
2024-02-21,38.959999,39.820000,38.959999,39.490002,39.373367,15987800
2024-02-22,39.549999,39.799999,39.160000,39.340000,39.223812,11458100
2024-02-23,39.360001,39.950001,39.320000,39.630001,39.512955,15194400
2024-02-26,39.639999,40.730000,39.599998,39.790001,39.672482,16610200
2024-02-27,40.230000,40.599998,39.849998,40.180000,40.061329,11507700
2024-02-28,40.060001,41.080002,40.049999,40.630001,40.510002,15697500
2024-02-29,40.770000,41.340000,40.639999,40.980000,40.980000,18005200
2024-03-01,40.810001,41.799999,40.400002,40.990002,40.990002,13074600
2024-03-04,41.000000,41.520000,40.759998,40.930000,40.930000,14703100
2024-03-05,40.700001,40.889999,40.130001,40.650002,40.650002,18913500
2024-03-06,40.650002,40.740002,39.830002,40.150002,40.150002,15511200
2024-03-07,40.169998,40.320000,39.259998,39.349998,39.349998,15428000
2024-03-08,39.349998,40.150002,39.310001,39.500000,39.500000,12917900
2024-03-11,39.279999,39.810001,39.220001,39.529999,39.529999,11659100
2024-03-12,39.580002,39.619999,38.959999,39.209999,39.209999,19442500
2024-03-13,39.459999,40.470001,39.340000,40.259998,40.259998,19081300
2024-03-14,40.180000,40.340000,38.950001,39.380001,39.380001,18012900
2024-03-15,39.270000,40.820000,39.270000,40.689999,40.689999,82750500
2024-03-18,40.889999,40.919998,40.330002,40.820000,40.820000,16126600
2024-03-19,40.919998,41.680000,40.720001,41.509998,41.509998,15936400
2024-03-20,41.419998,42.889999,41.360001,42.849998,42.849998,16909300
2024-03-21,42.919998,43.590000,42.840000,43.419998,43.419998,15268300
2024-03-22,43.299999,43.660000,43.000000,43.060001,43.060001,9387400
2024-03-25,43.060001,43.959999,43.060001,43.549999,43.549999,14644700
2024-03-26,43.689999,44.570000,43.430000,44.000000,44.000000,15961300
2024-03-27,44.060001,44.810001,44.049999,44.590000,44.590000,22172100
2024-03-28,44.630001,45.540001,44.599998,45.349998,45.349998,14766400
2024-04-01,45.130001,45.730000,44.980000,45.400002,45.400002,11008300
2024-04-02,44.970001,45.259998,44.590000,44.889999,44.889999,13061900
2024-04-03,44.669998,45.419998,44.639999,45.169998,45.169998,14377100
2024-04-04,45.709999,46.040001,43.619999,43.680000,43.680000,16988600
2024-04-05,43.720001,44.310001,43.459999,44.230000,44.230000,11209800
2024-04-08,44.430000,44.849998,44.279999,44.340000,44.340000,8250400
2024-04-09,44.580002,44.869999,44.070000,44.730000,44.730000,8794800
2024-04-10,43.900002,44.549999,43.509998,43.939999,43.939999,11636400
2024-04-11,43.900002,43.990002,43.189999,43.840000,43.840000,19563000
2024-04-12,43.500000,43.580002,42.650002,43.080002,43.080002,11901500
2024-04-15,43.730000,43.980000,42.520000,42.689999,42.689999,13499600
2024-04-16,42.490002,42.919998,42.130001,42.660000,42.660000,12384900
2024-04-17,42.910000,43.160000,42.290001,42.459999,42.459999,10663300
2024-04-18,42.770000,42.840000,42.009998,42.439999,42.439999,14180500
2024-04-19,42.509998,42.959999,42.189999,42.369999,42.369999,15469300
2024-04-22,42.680000,43.560001,42.209999,43.209999,43.209999,21315100
2024-04-23,45.889999,45.959999,44.369999,45.099998,45.099998,28767300
2024-04-24,45.310001,45.310001,44.619999,45.080002,45.080002,15013900
2024-04-25,44.669998,45.849998,44.490002,45.619999,45.619999,14912500
2024-04-26,45.599998,46.169998,45.410000,45.840000,45.840000,12012300
